symbol,date,close,open,high,low,volume
AU.NH,20100802,1212.7764,1209.7357,1213.7588,1209.2679,22980
AU.NH,20100730,1197.2921,1195.7484,1198.9294,1194.5789,20552
AU.NH,20100729,1198.3681,1195.7016,1198.5084,1194.0175,22612
AU.NH,20100728,1193.7368,1192.0995,1195.0467,1191.3978,31206
AU.NH,20100727,1213.7588,1213.8523,1214.975,1212.3086,19504
AU.NH,20100726,1221.5243,1217.3141,1222.2728,1217.3141,17954
AU.NH,20100723,1223.1148,1220.9161,1223.9101,1219.6063,24956
AU.NH,20100722,1210.3438,1212.0747,1214.4137,1208.0984,25678
AU.NH,20100721,1215.1622,1219.3256,1219.3256,1215.0218,21270
AU.NH,20100720,1210.9052,1208.3323,1212.5425,1208.0984,29036
AU.NH,20100719,1217.6883,1215.8171,1219.7466,1215.7235,31014
AU.NH,20100716,1230.4125,1234.997,1235.6987,1230.3189,21714
AU.NH,20100715,1233.8275,1235.418,1238.178,1233.5936,20112
AU.NH,20100714,1237.8038,1234.997,1239.4411,1234.1081,28664
AU.NH,20100713,1221.8985,1223.3019,1225.5474,1221.6646,24786
AU.NH,20100712,1231.7224,1234.997,1235.1841,1231.7224,21252
AU.NH,20100709,1222.647,1221.805,1225.0796,1221.5243,21118
AU.NH,20100708,1231.0674,1230.4125,1232.5644,1228.4477,26910
AU.NH,20100707,1213.4781,1220.729,1222.226,1212.4021,37530
AU.NH,20100706,1230.3657,1229.7576,1234.997,1227.9799,25352
AU.NH,20100705,1236.2132,1234.9034,1238.8797,1233.5936,21264
AU.NH,20100702,1230.8803,1228.1203,1234.3888,1225.0796,47810
AU.NH,20100701,1266.8075,1267.977,1270.5499,1266.4333,25376
AU.NH,20100630,1272.6082,1272.7018,1274.6666,1270.3628,24340
AU.NH,20100629,1265.8719,1272.3743,1272.3743,1265.1702,33490
AU.NH,20100628,1286.0341,1291.1332,1292.022,1285.7535,22016
AU.NH,20100625,1276.8652,1276.6313,1279.8124,1275.415,26022
AU.NH,20100624,1266.5736,1268.5384,1270.2692,1265.9187,21726
AU.NH,20100623,1272.7954,1269.4272,1274.5262,1269.4272,22416
AU.NH,20100622,1268.8658,1271.1113,1273.3099,1267.1817,43740
AU.NH,20100621,1295.7176,1293.7529,1295.858,1290.4783,41362
AU.NH,20100618,1281.4497,1282.1982,1283.3209,1278.7364,39618
AU.NH,20100617,1269.9418,1268.0238,1271.4855,1266.8075,22908
AU.NH,20100611,1255.7674,1253.709,1256.9369,1252.8202,23440
AU.NH,20100610,1264.1878,1265.3573,1270.5499,1259.5566,39468
AU.NH,20100609,1269.3804,1273.5438,1274.0116,1267.7431,45328
AU.NH,20100608,1276.6313,1273.9181,1277.0991,1271.9533,38342
AU.NH,20100607,1252.6331,1249.031,1254.4575,1248.189,43472
AU.NH,20100604,1238.8329,1239.675,1242.3882,1233.3129,44896
AU.NH,20100603,1259.2291,1258.8081,1260.0711,1254.6446,34366
AU.NH,20100602,1257.0304,1259.6501,1262.1295,1256.6562,42384
AU.NH,20100601,1256.4691,1258.3871,1260.0244,1255.1124,47194
AU.NH,20100531,1246.8791,1246.3646,1251.5104,1245.1483,32118
AU.NH,20100528,1252.2121,1246.692,1252.3056,1241.7801,50804
AU.NH,20100527,1247.6276,1248.0954,1253.6155,1245.2886,49070
AU.NH,20100526,1243.4174,1239.675,1245.5225,1237.4295,45178
AU.NH,20100525,1226.4362,1224.2375,1232.8919,1223.3019,54934
AU.NH,20100524,1226.8104,1220.2144,1228.2606,1218.1093,44916
AU.NH,20100521,1214.975,1218.1561,1221.8985,1204.5898,74156
AU.NH,20100520,1222.226,1225.6409,1234.0614,1218.0158,65898
AU.NH,20100519,1245.7096,1258.3403,1260.7261,1242.5286,76400
AU.NH,20100518,1251.9314,1262.4102,1263.0651,1250.4344,58322
AU.NH,20100517,1271.9065,1269.2401,1279.8124,1269.2401,67520
AU.NH,20100514,1269.2401,1268.4448,1273.8245,1266.5268,41490
AU.NH,20100513,1268.398,1267.7899,1271.6726,1267.3221,38628
AU.NH,20100512,1263.8603,1261.6617,1268.8658,1259.2291,47550
AU.NH,20100511,1242.6689,1235.6987,1243.1835,1235.6987,34626
AU.NH,20100510,1229.1494,1234.9502,1238.1312,1228.6349,38004
AU.NH,20100507,1237.8038,1234.997,1237.8506,1231.7691,36142
AU.NH,20100506,1207.8645,1206.2739,1209.2679,1205.5254,28770
